season,tour,date,location,event,bull,score
2018,25th PBR: Unleash the Beast,2018-01-21,"Oklahoma City, OK",OKLAHOMA CITY EXPRESS EMPLOYMENT PROFESSIONALS INVITATIONAL,Set 'em up Joe,87
2018,25th PBR: Unleash the Beast,2018-01-20,"Oklahoma City, OK",OKLAHOMA CITY EXPRESS EMPLOYMENT PROFESSIONALS INVITATIONAL,Voo Doo Too,85
2018,25th PBR: Unleash the Beast,2018-01-20,"Oklahoma City, OK",OKLAHOMA CITY EXPRESS EMPLOYMENT PROFESSIONALS INVITATIONAL,The Punisher,0
2018,25th PBR: Unleash the Beast,2018-01-14,"Chicago, IL",CHICAGO INVITATIONAL,Air Bender,83
2018,25th PBR: Unleash the Beast,2018-01-07,"New York, NY",MONSTER ENERGY BUCK OFF AT THE GARDEN,Good Ride's Jailhouse Jr.,0
2018,25th PBR: Unleash the Beast,2018-01-06,"New York, NY",MONSTER ENERGY BUCK OFF AT THE GARDEN,Twinkle Toes,0
2018,25th PBR: Unleash the Beast,2018-01-05,"New York, NY",MONSTER ENERGY BUCK OFF AT THE GARDEN,Nailed,0
2018,25th PBR: Unleash the Beast,2018-01-05,"New York, NY",MONSTER ENERGY BUCK OFF AT THE GARDEN 15/15,Mystikal,87
2018,25th PBR: Unleash the Beast,2018-01-05,"New York, NY",MONSTER ENERGY BUCK OFF AT THE GARDEN,Big City,79
2018,Real Time Pain Relief Velocity Tour,2017-12-16,"Kearney, NE","Kearney, NE",Wart,87
2018,Real Time Pain Relief Velocity Tour,2017-12-16,"Kearney, NE","Kearney, NE",Hoss,86
2018,Real Time Pain Relief Velocity Tour,2017-12-09,"Biloxi, MS",Biloxi Buck Off,Biloxi Shores,0
2018,Global Cup,2017-11-11,"Edmonton, AB",Global Cup Edmonton,Moleek,0
2018,Global Cup,2017-11-11,"Edmonton, AB",Global Cup Edmonton,Oilfield Outlaw's Legacy,88.5
2018,Global Cup,2017-11-10,"Edmonton, AB",Global Cup Edmonton,Gambini,0
2018,Global Cup,2017-11-10,"Edmonton, AB",Global Cup Edmonton,I Always Stand,85
2017,Built Ford Tough Series,2017-11-05,"Las Vegas, NV",2017 BUILT FORD TOUGH WORLD FINALS,Magic Train,94.5
2017,Built Ford Tough Series,2017-11-05,"Las Vegas, NV",2017 BUILT FORD TOUGH WORLD FINALS,More Big Bucks,89.75
2017,Built Ford Tough Series,2017-11-04,"Las Vegas, NV",2017 BUILT FORD TOUGH WORLD FINALS,Big Dutch,90.5
2017,Built Ford Tough Series,2017-11-03,"Las Vegas, NV",2017 BUILT FORD TOUGH WORLD FINALS,Mudshark,90
2017,Built Ford Tough Series,2017-11-02,"Las Vegas, NV",2017 BUILT FORD TOUGH WORLD FINALS,Slinger Jr.,86.5
2017,Built Ford Tough Series,2017-11-01,"Las Vegas, NV",2017 BUILT FORD TOUGH WORLD FINALS,Opus,86
2017,Real Time Pain Relief Velocity Tour,2017-10-30,"Las Vegas, NV","Las Vegas, NV REAL TIME PAIN RELIEF VELOCITY TOUR FINALS",Pneu-Dart's Muscles & Shovels,0
2017,Real Time Pain Relief Velocity Tour,2017-10-30,"Las Vegas, NV","Las Vegas, NV REAL TIME PAIN RELIEF VELOCITY TOUR FINALS",2-14 HCR,62
2017,Real Time Pain Relief Velocity Tour,2017-10-29,"Las Vegas, NV","Las Vegas, NV REAL TIME PAIN RELIEF VELOCITY TOUR FINALS",The Original,81
2017,Real Time Pain Relief Velocity Tour,2017-10-28,"Las Vegas, NV","Las Vegas, NV REAL TIME PAIN RELIEF VELOCITY TOUR FINALS",Wileywood Blue,85.5
2017,PBR Brazil,2017-08-20,"Barretos, SP",Final Monster Energy PBR,Zorro,88.5
2017,PBR Brazil,2017-08-20,"Barretos, SP",Final Monster Energy PBR,Po de Ouro,85.5
2017,PBR Brazil,2017-08-19,"Barretos, SP",Final Monster Energy PBR,Bate Pronto,62.75
2017,PBR Brazil,2017-08-18,"Barretos, SP",Final Monster Energy PBR,Suspeito,84.75
2017,PBR Brazil,2017-08-17,"Barretos, SP",Final Monster Energy PBR,Bar do Mane,85
2017,PBR Brazil,2017-08-13,"Promissão, SP",Promissão - SP,Neymar,87.5
2017,PBR Brazil,2017-08-13,"Promissão, SP",Promissão - SP,Baguaçu,81.25
2017,PBR Brazil,2017-08-12,"Promissão, SP",Promissão - SP,Cigano,88.25
2017,PBR Brazil,2017-08-11,"Promissão, SP",Promissão - SP,Cassino com X,80
2017,PBR Brazil,2017-08-10,"Promissão, SP",Promissão - SP,Amante,68
2017,PBR Brazil,2017-07-30,"Santo Antonio do Monte, MG","Santo Antonio do Monte, MG",Doce de Leite,0
2017,PBR Brazil,2017-07-29,"Santo Antonio do Monte, MG","Santo Antonio do Monte, MG",Bicho Mineiro,87
2017,PBR Brazil,2017-07-28,"Santo Antonio do Monte, MG","Santo Antonio do Monte, MG",Ciclone,67
2017,PBR Brazil,2017-07-27,"Santo Antonio do Monte, MG","Santo Antonio do Monte, MG",Carga Pesada,78.75
2017,PBR Brazil,2017-07-16,"Iturama, MG",Iturama - MG,Final Feliz,89.25
2017,PBR Brazil,2017-07-16,"Iturama, MG",Iturama - MG,Cascavel,88
2017,PBR Brazil,2017-07-15,"Iturama, MG",Iturama - MG,Margoso,78
2017,PBR Brazil,2017-07-14,"Iturama, MG",Iturama - MG,Mandacaru,77
2017,PBR Brazil,2017-07-13,"Iturama, MG",Iturama - MG,Coliseu,71.25
2017,PBR Brazil,2017-07-13,"Iturama, MG",Iturama - MG,Clonado,82.75
2017,PBR Brazil,2017-07-12,"Iturama, MG",Iturama - MG,Desonesto,57
2017,PBR Brazil,2017-07-12,"Iturama, MG",Iturama - MG,Suspeito,0
2017,PBR Brazil,2017-07-09,"Frutal, MG",Frutal - MG,Meio Amargo,86.25
2017,PBR Brazil,2017-07-09,"Frutal, MG",Frutal - MG,Yellow Cat,80
2017,PBR Brazil,2017-07-08,"Frutal, MG",Frutal - MG,I am Crazy,0
2017,PBR Brazil,2017-07-07,"Frutal, MG",Frutal - MG,Noturno,84.75
2017,PBR Brazil,2017-07-06,"Frutal, MG",Frutal - MG,Paladiun,69.75
2017,PBR Brazil,2017-07-06,"Frutal, MG",Frutal - MG,Efeito Anestesico,84.5
2017,PBR Brazil,2017-06-17,"Americana, SP",Americana - SP Iron Qualifier,Progresso,0
2017,PBR Brazil,2017-06-16,"Americana, SP",Americana - SP Iron Qualifier,Tornado,86
2017,PBR Brazil,2017-06-16,"Americana, SP",Americana - SP Iron Qualifier,Tempo Fechado,0
2017,PBR Brazil,2017-06-11,"Americana, SP",Americana - SP,Surfista,85.25
2017,PBR Brazil,2017-06-10,"Americana, SP",Americana - SP,Copa do Mundo,88
2017,PBR Brazil,2017-06-09,"Americana, SP",Americana - SP,Bipolar,0
2017,PBR Brazil,2017-06-04,"Divinópolis, MG",Divinopolis - MG,Bala de Coco,0
2017,PBR Brazil,2017-06-03,"Divinópolis, MG",Divinopolis - MG,Triton,0
2017,PBR Brazil,2017-06-02,"Divinópolis, MG",Divinopolis - MG,Dono da Noite,85
2017,PBR Brazil,2017-06-01,"Divinópolis, MG",Divinopolis - MG,Xerife,78.5
2017,PBR Brazil,2017-05-14,"Maringa, PR",Maringa - PR,Agressor,0
2017,PBR Brazil,2017-05-14,"Maringa, PR",Maringa - PR,Chave de Sol,70.75
2017,PBR Brazil,2017-05-13,"Maringa, PR",Maringa - PR,Jagunco,86.5
2017,PBR Brazil,2017-05-12,"Maringa, PR",Maringa - PR,Delator,88.5
2017,PBR Brazil,2017-05-07,"Colatina, ES",Colatina - ES,Doli,88
2017,PBR Brazil,2017-05-07,"Colatina, ES",Colatina - ES,Tucson,86.25
2017,PBR Brazil,2017-05-06,"Colatina, ES",Colatina - ES,Procedimento,86.25
2017,PBR Brazil,2017-05-05,"Colatina, ES",Colatina - ES,Desordeiro,88
2017,PBR Brazil,2017-04-09,"Londrina, PR",Londrina - PR,Mexicano,88
2017,PBR Brazil,2017-04-09,"Londrina, PR",Londrina - PR,Cascavel,87.25
2017,PBR Brazil,2017-04-08,"Londrina, PR",Londrina - PR,Golias,84.75
2017,PBR Brazil,2017-04-07,"Londrina, PR",Londrina - PR,Em Chamas,84.75
