"","fighter_name","Height","Weight","Reach","Stance","Birthyear","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg"
"95","Siyar Bahadurzada",71,170,73,"Orthodox",1984,2.91,40,3.23,49,1.32,61,62,0.3
"96","Ignacio Bahamondes",75,170,75,"Orthodox",1997,8.78,54,2.66,67,0,0,100,0
"97","Oluwale Bamgbose",71,185,78,"Switch",1987,2.45,48,2.7,55,0.94,33,37,0
"98","Shamar Bailey",69,155,75,"Southpaw",1982,1.56,20,3.91,69,1.5,33,37,0
"99","Humberto Bandenay",71,145,71,"Southpaw",1994,2.22,41,4.79,41,2.9,46,62,0.5
"100","Tae Hyun Bang",69,155,71,"Switch",1983,2.72,38,2.07,66,0.49,33,57,0.5
"101","Maycee Barber",65,125,65,"Switch",1998,5.21,52,3,50,1.44,40,80,0.2
"102","Antonio Banuelos",65,135,63,"Orthodox",1979,2.69,33,3.15,58,1.62,62,86,0.4
"103","Bryan Barberena",72,170,72,"Southpaw",1989,5.48,48,4.7,45,0.23,28,60,0.5
"104","Renan Barao",66,145,70,"Orthodox",1987,3.78,36,3.9,57,1.49,41,91,0.5
"105","Edson Barboza",71,145,75,"Orthodox",1986,3.98,43,4.03,60,0.44,44,78,0.1
"106","Raoni Barcelos",67,135,67,"Orthodox",1987,5.59,52,4.17,67,2.23,56,85,0.7
"107","Luke Barnatt",78,185,77,"Orthodox",1988,4.43,36,3.87,59,0.63,42,63,0.4
"108","Phil Baroni",69,170,72,"Orthodox",1976,2.77,45,3.93,40,1.46,47,60,0.5
"109","Josh Barnett",75,250,78,"Orthodox",1977,3.2,50,2.11,57,1.26,55,55,1.4
"110","Peter Barrett",70,145,73,"Southpaw",1986,4.18,61,4.32,42,1.39,22,66,0
"111","Marc-Andre Barriault",73,185,74,"Orthodox",1990,4.25,46,4.12,57,0.55,28,69,0
"112","Francimar Barroso",73,205,75,"Orthodox",1980,2.77,52,3.07,59,2.22,24,83,0
"113","Enrique Barzola",67,145,70,"Orthodox",1989,3.91,41,2.97,68,4.2,45,66,0.3
"114","Pat Barry",71,235,74,"Orthodox",1979,2.72,52,3.54,59,0,0,76,0.2
"115","Batgerel Danaa",67,135,70,"Orthodox",1989,5.66,38,2.61,58,0,0,57,0
"116","Alan Baudot",75,243,79,"Orthodox",1988,1.89,25,10.11,36,0,0,0,0
"117","Mario Bautista",69,135,69,"Switch",1993,5.71,45,4.78,54,0.48,33,70,0
"118","Chris Beal",67,125,69,"Orthodox",1985,3.45,35,3.18,61,1.6,58,78,0.2
"119","Ariel Beck",66,125,66,"Southpaw",1990,4.44,34,4.31,64,0,0,0,0
"120","Chase Beebe",67,135,67,"Orthodox",1985,2.17,38,1.64,69,2.49,42,41,0.9
"121","Johnny Bedford",70,135,71,"Orthodox",1983,4.53,50,1.75,63,1.83,62,62,0
"122","Mirsad Bektic",68,145,70,"Orthodox",1991,2.43,41,1.8,57,3.98,52,92,0.4
"123","Diana Belbita",67,125,68,"Orthodox",1996,5.81,39,6.49,52,1.69,66,64,0
"124","Alan Belcher",74,185,75,"Orthodox",1984,2.7,41,3.1,59,0.44,26,55,0.9
"125","Danilo Belluardo",72,155,74,"Southpaw",1994,1.52,61,4.79,41,3.5,100,50,0
"126","Vitor Belfort",72,185,74,"Southpaw",1977,1.59,46,2.83,50,1.02,60,53,0.6
"127","Joey Beltran",73,185,75,"Orthodox",1981,4.92,36,5.27,54,0.48,18,75,0
"128","Marco Beltran",68,125,69,"Orthodox",1986,2.07,37,1.93,63,0.7,50,46,0.2
"129","Joseph Benavidez",64,125,65,"Southpaw",1984,3.52,34,2.67,61,1.41,30,62,0.6
"130","Gabriel Benitez",68,155,71,"Southpaw",1988,4.38,38,3.26,70,0.17,50,56,1.2
"131","DeAnna Bennett",64,125,68,"Orthodox",1984,3.13,58,3.27,58,0,0,0,1
"132","Lance Benoist",71,170,72,"Southpaw",1988,3.68,51,2.7,56,1.5,33,61,0
"133","Ryan Benoit",65,125,68,"Orthodox",1989,2.95,41,3.4,60,0.33,25,70,0.5
"134","Kenneth Bergh",74,205,74,"Orthodox",1989,4.56,75,1.27,28,0,0,0,0
"135","Dennis Bermudez",66,155,66,"Orthodox",1986,4.42,46,3.07,59,3.89,40,82,1.1
"136","Talita Bernardo",64,135,68,"Orthodox",1987,3.12,42,4.04,55,1.62,22,28,0.5
"137","Manny Bermudez",70,145,71,"Orthodox",1994,2.92,61,2.68,46,3.06,54,0,3.1
"138","Khadzhi Bestaev",78,185,76,"",1988,6.15,29,10,43,0,0,0,0
"139","Matt Bessette",70,145,70,"Orthodox",1984,4.36,41,4.45,58,0.64,28,61,0.3
"140","Arjan Bhullar",73,245,75,"Orthodox",1986,2.33,56,3.25,59,1.73,75,100,0
"141","Bibulatov Magomed",65,125,65,"Orthodox",1988,3.6,51,1.83,52,2.85,40,75,0
"142","KB Bhullar",76,185,78,"Switch",1991,1.18,13,10,37,0,0,0,0
"143","David Bielkheden",70,155,71,"Orthodox",1979,1.11,57,1.64,54,2.65,63,14,0
"144","Anthony Birchak",68,135,69,"Orthodox",1986,4.23,36,3.06,60,0.6,16,73,0
"145","Michael Bisping",73,185,75,"Orthodox",1979,4.33,38,2.71,65,1.05,43,63,0.3
"146","Jan Blachowicz",74,205,78,"Orthodox",1983,3.59,49,2.79,53,1.18,53,65,0.2
"147","Brad Blackburn",70,170,73,"Orthodox",1977,4.55,35,3.59,65,0.93,50,76,0.7
"148","Maximo Blanco",68,145,71,"Orthodox",1983,4.11,44,3.19,66,1.85,36,63,0.3
"149","Sherrard Blackledge",71,155,75,"Orthodox",1993,3.7,49,3.13,55,4,33,42,0
"150","Curtis Blaydes",76,265,80,"Orthodox",1991,3.59,53,1.7,57,6.64,54,33,0
"151","Kyle Bochniak",67,145,70,"Orthodox",1987,2.63,31,5.11,58,1.14,15,62,0
"152","Mark Bocek",68,155,75,"Orthodox",1981,2.34,43,2.32,60,3.65,36,31,1.3
"153","James Bochnovic",76,205,81,"Orthodox",1989,0.65,26,3.64,21,0,0,0,0
"154","Galore Bofando",71,170,72,"Switch",1982,3.63,45,3.63,54,2.37,100,50,0
"155","Tim Boetsch",72,185,74,"Orthodox",1981,2.93,50,2.9,57,1.45,34,59,0.8
"156","Roman Bogatov",68,155,73,"Orthodox",1990,3.33,42,4.4,44,1,9,50,0
"157","Rogerio Bontorin",65,125,67,"Orthodox",1992,2.19,50,3.12,38,1.9,40,51,1.6
"158","Stephan Bonnar",76,205,79,"Orthodox",1977,2.76,38,3.01,52,1.32,40,60,1
"159","Ray Borg",64,135,63,"Orthodox",1993,1.52,52,1.93,48,3.89,50,46,1
"160","Tanner Boser",74,255,75,"Orthodox",1991,4.54,55,2.7,63,0,0,100,0
"161","Steve Bosse",71,205,72,"Orthodox",1981,5.99,52,5.38,50,0.92,33,100,0
"162","Poliana Botelho",68,115,67,"Orthodox",1988,3,56,3.08,50,0.89,100,80,0
"163","Kyron Bowen",75,185,73,"Orthodox",1993,2.73,57,2.05,40,0,0,0,0
"164","Brian Bowles",67,135,70,"Orthodox",1980,2.36,26,2.98,64,1.39,70,54,1.4
"165","Roger Bowling",69,155,68,"Orthodox",1982,3.9,47,3.86,51,3.09,43,27,0.9
"166","Kyle Bradley",69,155,71,"Orthodox",1982,1.99,40,3.45,58,0.65,50,40,0
"167","Sean Brady",70,170,72,"Orthodox",1992,4.72,55,3.6,63,2.69,60,100,1.2
"168","Ramiz Brahimaj",70,170,72,"Orthodox",1992,3.73,36,6.14,55,0,0,100,0
"169","David Branch",73,185,78,"Orthodox",1981,1.66,39,1.91,56,2.55,32,43,0
"170","Martin Bravo",68,145,71,"Southpaw",1993,7.66,39,5.72,51,2.6,35,85,0
"171","Diego Brandao",67,145,64,"Orthodox",1987,2.94,47,3.38,62,3.21,68,80,0.6
"172","Tom Breese",75,185,73,"Southpaw",1991,3.34,50,2.81,60,0,0,70,1.1
"173","Mike Breeden",70,155,70,"Orthodox",1989,4,34,5.87,47,0,0,77,0
"174","Charlie Brenneman",70,155,70,"Orthodox",1981,1.52,56,1.55,46,4.23,42,72,0
"175","Marcos Brigagao",75,205,76,"Southpaw",1996,3.07,43,3.27,25,0,0,36,0
"176","Jason Brilz",71,205,71,"Orthodox",1975,2.66,40,1.78,65,2.37,25,25,1.3
"177","Marcus Brimage",64,135,71,"Southpaw",1985,3.97,35,3.64,56,0.56,100,80,0
"178","Henry Briones",68,135,69,"Orthodox",1980,3.47,42,4.68,53,0,0,52,0.6
"179","Antwain Britt",73,205,77,"",1978,1.46,39,2.81,44,1.56,40,50,0
"180","Jonathan Brookins",72,145,74,"Southpaw",1985,2.69,39,3.63,56,1.94,17,80,0.3
"181","Will Brooks",70,155,72,"Orthodox",1986,4.26,59,2.54,56,2.08,51,82,0.3
"182","Jarred Brooks",63,125,62,"Switch",1993,2.12,46,1.66,62,4.54,57,69,0.6
"183","Rob Broughton",74,265,74,"Orthodox",1983,2.83,60,2.54,51,0,0,26,3.2
"184","Mike Brown",66,145,70,"Orthodox",1975,2.98,44,2.45,60,3.23,40,66,0.6
"185","Matt Brown",72,170,75,"Orthodox",1981,3.69,54,2.67,55,1.56,44,63,1.4
"186","TJ Brown",69,145,72,"Switch",1990,3.22,42,2.21,50,4.92,60,40,0.4
"187","Damien Brown",70,155,68,"Orthodox",1984,3.66,38,4.86,50,0.68,27,53,0.7
"188","Randy Brown",75,170,78,"Orthodox",1990,3.67,47,2.8,53,1,46,71,0.6
"189","Travis Browne",78,255,79,"Orthodox",1982,2.93,41,4.31,42,1.21,68,75,0.2
"190","Cody Brundage",72,205,72,"Orthodox",1994,7.97,82,6.29,6,6.29,33,0,0
"191","Derek Brunson",73,185,77,"Southpaw",1984,3.46,47,2.72,53,3.11,33,94,0.5
"192","Justin Buchholz",72,155,73,"Orthodox",1983,2.35,26,4.14,51,0,0,33,0.8
"193","Julia Budd",67,145,67,"",1983,2.42,74,1.18,47,3.6,57,83,0
"194","Joaquin Buckley",70,185,76,"Southpaw",1994,4.58,36,5.46,51,0.6,16,100,0
"195","Mike Budnik",69,145,68,"Orthodox",1974,0.65,52,0.95,53,0,0,0,3.4
"196","Mayra Bueno Silva",66,135,66,"Orthodox",1991,4.06,57,4.89,47,0,0,73,1.6
"197","Paul Buentello",74,245,77,"Orthodox",1974,3.29,45,3.83,52,0.19,33,39,0.4
"198","Modestas Bukauskas",75,205,78,"Switch",1994,3.56,37,5.7,42,0,0,100,0
"199","Wuliji Buren",69,135,69,"Orthodox",1989,1.63,42,2.96,56,3.38,42,71,0.4
"200","Shane Burgos",71,145,75,"Orthodox",1991,7.31,50,5.81,60,0.3,100,89,0.1
"201","Joshua Burkman",70,170,72,"Orthodox",1980,2.69,43,3.13,51,2.53,36,72,0.3
"202","Mads Burnell",68,145,69,"Orthodox",1994,1.28,41,2.71,51,3.45,47,22,0.4
"203","Kevin Burns",70,170,74,"Orthodox",1980,2.74,38,4.3,52,0.28,50,47,0.8
"204","Herbert Burns",69,145,73,"Orthodox",1988,1.67,45,5.02,33,4.64,83,75,2.8
"205","Gilbert Burns",70,170,71,"Orthodox",1986,3.22,45,3.04,54,2.08,35,50,0.7
"206","Cheyanne Buys",63,115,63,"Switch",1995,4.1,53,1.67,65,0,0,60,0
"207","JP Buys",65,125,67,"Orthodox",1996,2.66,45,3.05,43,2.22,50,33,2.2
"208","Dennis Buzukja",69,145,71,"Switch",1997,3.8,46,6.8,35,2,25,100,1
"209","Charles Byrd",70,185,73,"Orthodox",1983,3.43,55,2.63,55,2.5,50,40,1.5
"210","Yan Cabral",71,155,73,"Orthodox",1983,2.02,47,1.98,62,2.89,35,37,1.2
"211","Alex Caceres",70,145,73,"Southpaw",1988,4.1,50,2.82,65,0.57,78,64,0.8
"212","Vince Cachero",66,145,68,"Orthodox",1989,3.29,45,6.51,43,0,0,18,0.5
"213","Priscila Cachoeira",67,135,65,"Orthodox",1988,3.84,37,7.93,42,0,0,69,0
"214","Joanne Calderwood",66,125,65,"Orthodox",1985,6.59,49,4.4,53,1.8,55,58,0.5
"215","Cynthia Calvillo",64,125,64,"Orthodox",1987,4.18,41,3.52,67,1.85,44,71,1.1
"216","Frank Camacho",70,170,73,"Orthodox",1989,6.67,46,7.31,52,1.17,45,72,0
"217","Fabricio Camoes",70,155,71,"Orthodox",1978,1.29,33,1.85,61,2.34,32,20,1.5
"218","Chris Camozzi",74,185,75,"Orthodox",1986,3.57,44,2.96,56,0.27,19,57,0.5
"219","Brian Camozzi",74,170,78,"Orthodox",1991,3.15,26,6.39,54,0,0,0,0.7
"220","Shane Campbell",72,155,71,"Orthodox",1987,3.99,59,3.19,55,1.36,28,82,0
"221","Will Campuzano",69,125,70,"Orthodox",1986,2.43,31,3.82,57,0.88,45,48,0.2
"222","Chico Camus",66,125,66,"Orthodox",1985,2.58,41,2.46,64,0.77,40,72,0.4
"223","Aleksa Camur",73,205,74,"Orthodox",1995,3.94,54,2.49,57,0.84,33,20,0
"224","Carlos Candelario",68,125,67,"Southpaw",1991,3.87,47,1.67,57,0,0,46,0
"225","Guido Cannetti",66,135,68,"Southpaw",1979,2.85,51,2.17,50,2.64,50,75,0.3
"226","Luiz Cane",74,185,77,"Southpaw",1981,4.79,41,5,60,0.56,28,100,0.3
"227","Jared Cannonier",71,185,77,"Switch",1984,3.7,52,3.09,64,0.16,33,54,0
"228","Phil Caracappa",68,135,70,"Orthodox",1992,2.93,50,4.07,29,1,8,100,1
"229","Steve Cantwell",74,185,75,"Orthodox",1986,3.63,34,5.76,55,0.65,30,80,0.7
"230","Bryan Caraway",68,135,68,"Orthodox",1984,2.53,34,3.61,54,2.57,25,80,0.8
"231","Chris Cariaso",63,125,64,"Southpaw",1981,3.35,43,2.23,61,1.11,39,57,0.8
"232","Antonio Carlos Junior",74,185,79,"Orthodox",1990,1.95,42,2.14,52,3.42,39,53,0.8
"233","Spike Carlyle",68,145,71,"Switch",1993,2.55,54,3.85,30,3.34,36,57,0.5
"234","Francis Carmont",75,205,78,"Orthodox",1981,2.22,42,1.64,59,1.79,36,73,0.6
"235","Liz Carmouche",66,125,66,"Orthodox",1984,2.78,54,2.51,61,2.57,51,65,0.3
"236","Ariane Carnelossi",62,115,61,"Orthodox",1992,6.03,38,7.71,50,0,0,0,0
"237","Roan Carneiro",71,170,76,"Orthodox",1978,1.46,46,1.82,62,3.05,42,83,1.4
"238","Luana Carolina",66,125,69,"Orthodox",1993,6.29,50,3.75,47,0,0,100,2.4
"239","Antonio Carvalho",69,145,70,"Orthodox",1979,3.03,29,3.62,64,0,0,100,0
"240","Shane Carwin",74,265,80,"Orthodox",1975,4.38,47,3.53,53,1.42,33,42,0
"241","Johnny Case",70,155,72,"Orthodox",1989,3.95,38,2.66,61,1.7,45,72,0.2
"242","Kevin Casey",71,185,77,"Southpaw",1981,2.27,53,3.76,46,0.79,22,27,0.4
"243","Cortney Casey",67,125,67,"Orthodox",1987,4.33,38,4.19,52,0.28,27,38,0.6
"244","John Castaneda",66,135,71,"Switch",1991,4.17,49,5.07,55,0.86,25,60,0
"245","Danny Castillo",69,155,71,"Orthodox",1979,2.57,42,1.96,62,2.95,38,63,0.2
"246","Nick Catone",72,185,72,"Southpaw",1981,2.11,44,2.32,63,3.71,44,83,0.5
"247","Gesias Cavalcante",68,155,71,"Orthodox",1983,1.98,35,3.11,51,1.25,36,66,1.1
"248","Rafael Cavalcante",73,205,74,"Orthodox",1980,2.71,53,3.62,49,0.6,40,63,0.1
"249","Henry Cejudo",64,135,64,"Orthodox",1987,3.92,45,2.77,65,2.12,33,93,0.2
"250","Yosdenis Cedeno",68,155,69,"Orthodox",1985,1.64,29,1.6,67,0,0,31,0.3
"251","Magnus Cedenblad",77,185,79,"Orthodox",1982,2.38,51,3.02,40,2.87,64,66,1
"252","Luan Chagas",72,170,75,"Orthodox",1993,4.16,47,3.19,62,0.32,12,85,0.3
"253","Donald Cerrone",73,155,73,"Orthodox",1983,4.43,46,4.46,53,1.19,33,73,1.2
"254","Alex Chambers",63,115,63,"Southpaw",1978,2.97,54,5.1,50,2.31,41,53,1
"255","Michael Chandler",68,155,71,"Orthodox",1986,4.29,49,3.76,52,2.37,41,80,1.4
"256","Ernest Chavez",68,145,70,"Orthodox",1983,2.79,40,3.89,59,0.89,33,50,0
"257","Danny Chavez",68,145,67,"Orthodox",1987,2.93,39,4.17,53,2.5,100,84,0
"258","Mark Cherico",67,145,69,"Orthodox",1986,3.69,34,7.37,56,5.03,50,0,0
"259","Macy Chiasson",71,135,72,"Orthodox",1991,4.16,49,2.17,46,0.98,21,64,0.5
"260","Giga Chikadze",72,145,74,"Orthodox",1988,3.45,43,2.65,60,0.38,33,68,0
"261","Michael Chiesa",73,170,75,"Southpaw",1987,1.89,40,1.71,54,3.6,52,68,0.9
"262","Khamzat Chimaev",74,170,75,"Orthodox",1994,9.03,72,0.1,66,4.67,75,0,3.1
"263","Dooho Choi",70,145,70,"Orthodox",1991,5.32,51,6.38,53,0.41,20,50,0
"264","SeungWoo Choi",72,145,74,"Orthodox",1992,3.17,41,2.45,46,1.03,57,66,0
"265","John Cholish",71,155,74,"Orthodox",1983,2.65,49,2.29,73,1.82,31,78,0.4
"266","Joachim Christensen",75,205,76,"Orthodox",1978,3.78,41,3.29,46,0,0,0,0
"267","Ryo Chonan",69,170,70,"Orthodox",1976,2.57,43,2.25,60,0.61,41,39,0.3
"268","Katlyn Chookagian",69,125,68,"Orthodox",1988,4.22,34,4.23,63,0.27,15,51,0.5
"269","Cameron Church",71,155,72,"Orthodox",1990,4,40,4.93,50,0,0,60,1
"270","Hannah Cifers",61,115,62,"Orthodox",1992,4.99,44,5.39,52,0.26,100,64,0.3
"271","Misha Cirkunov",75,205,77,"Orthodox",1987,4.18,51,3.22,60,4.28,57,71,2.3
"272","Devin Clark",72,205,75,"Orthodox",1990,3.33,57,2.43,48,2.7,36,76,0.1
"273","Jessica-Rose Clark",65,125,64,"Orthodox",1987,4.68,51,3.98,60,1.01,55,73,0.4
"274","Heather Clark",66,115,64,"Orthodox",1980,3.69,49,5.62,50,0.33,4,80,0.3
"275","Rich Clementi",69,155,72,"Southpaw",1976,1.43,37,2.29,60,1.72,42,25,1.1
"276","Chris Clements",70,170,70,"Orthodox",1976,3.2,49,2.37,44,0,0,32,0.3
"277","Mitch Clarke",70,155,73,"Orthodox",1985,2.35,34,3.27,47,0.64,15,50,0.4
"278","Marloes Coenen",69,145,67,"",1981,2.15,51,1.9,67,0.82,30,41,2.5
"279","Felipe Colares",68,135,69,"Orthodox",1994,1.13,42,3,32,2,25,34,1
"280","Mark Coleman",73,205,75,"Orthodox",1964,1.88,52,2.62,40,3.89,40,50,0.8
"281","Clay Collard",71,145,73,"Orthodox",1993,4.22,32,5,50,2.81,39,71,0.5
"282","Jamie Colleen",63,115,65,"Orthodox",1985,3.11,61,5.66,33,0.52,33,50,1.6
"283","Jake Collier",75,230,78,"Orthodox",1988,4.92,41,4.09,53,0.57,23,67,0.4
"284","Carlos Condit",74,170,75,"Orthodox",1984,3.63,39,2.49,56,0.62,54,39,1
"285","Montserrat Conejo",60,115,61,"Southpaw",1993,1,36,2.07,52,4,80,0,2
"286","Tristan Connelly",70,170,68,"Orthodox",1985,4.27,51,2.13,57,0,0,60,1
"287","Michael Cora",73,170,77,"Southpaw",1989,0.8,28,0.13,66,0,0,25,0
"288","Amanda Cooper",63,115,64,"Switch",1991,3.55,44,3.2,51,1.53,38,28,1.8
"289","Akira Corassani",68,145,68,"Orthodox",1982,3.25,45,4.91,50,0.7,28,86,0
"290","Chris Cope",72,170,72,"Orthodox",1983,3.96,26,4.82,50,0,0,80,0
"291","Daniel Cormier",71,235,72,"Orthodox",1979,4.25,52,2.92,54,1.83,44,80,0.4
"292","Bethe Correia",65,135,64,"Orthodox",1983,4.39,44,4.56,58,0.44,20,84,0
"293","Louis Cosce",69,170,71,"Orthodox",1995,8.22,48,9.3,48,1.07,11,0,0
"294","Tracy Cortez",65,135,65,"Orthodox",1993,3.67,53,1.98,62,3,42,85,0
"295","Orion Cosce",71,170,71,"Switch",1994,4.56,62,1.97,56,1.02,100,70,0
"296","Randy Costa",69,135,73,"Switch",1994,7.88,47,5.26,58,0,0,100,0
"297","Paulo Costa",73,185,72,"Orthodox",1991,7.03,57,6.7,50,0,0,80,0
"298","Oscar Cota",72,230,72,"Orthodox",1984,0.33,41,2.47,41,0,0,60,1
"299","Patrick Cote",71,170,75,"Orthodox",1980,2.81,48,3.21,48,0.68,20,43,0.2
"300","Rashad Coulter",71,205,76,"Orthodox",1981,4.82,56,6.68,50,0,0,62,0
"301","Ryan Couture",70,155,73,"Orthodox",1982,3.54,45,2.87,54,1.55,29,46,1.3
"302","Colby Covington",71,170,72,"Orthodox",1988,4.12,38,2.86,55,4.61,50,75,0.1
"303","Nathan Coy",70,170,69,"Southpaw",1978,3.88,52,2.4,61,3.17,47,50,0
"304","Andrew Craig",73,170,76,"Orthodox",1986,2.39,40,3.01,50,0.53,37,72,0
"305","Paul Craig",75,205,76,"Orthodox",1987,2.4,49,2.43,49,2.11,26,55,1.5
"306","Tim Credeur",75,185,75,"Orthodox",1977,3.59,30,3.13,57,0.41,100,50,3.3
"307","Randy Couture",73,205,75,"Orthodox",1963,2.85,57,1.53,59,2.78,46,58,0.5
"308","Kevin Croom",71,155,73,"Orthodox",1987,1.35,36,3.22,31,0.97,6,50,1
"309","Ken Cross",72,155,72,"Southpaw",1994,2.2,57,1.4,55,1,12,66,0
"310","Jimmy Crute",74,205,74,"Orthodox",1996,4.36,57,2.31,54,4.33,75,60,2.4
"311","Dominick Cruz",68,135,68,"Orthodox",1985,3.65,32,2.42,72,2.99,46,83,0.1
"312","Aalon Cruz",72,145,78,"Switch",1989,7.58,39,8.88,58,0,0,0,0
"313","Luke Cummo",72,170,74,"Orthodox",1980,1.74,43,1.5,59,0.89,55,42,1.4
"314","Alton Cunningham",74,205,77,"Orthodox",1993,3.33,75,4.94,20,1.67,10,100,0
"315","Allen Crowder",75,245,76,"Orthodox",1989,2.95,51,2.95,56,1.85,33,100,1.2
"316","Josh Culibao",70,155,73,"Orthodox",1994,2.52,38,4.3,48,0,0,100,0
"317","Patrick Cummins",74,205,76,"Orthodox",1980,4.26,50,3.35,55,4.49,41,28,0.1
"318","Kailin Curran",64,115,65,"Orthodox",1991,3.89,43,4.75,53,2,57,61,0.6
"319","Jeff Curran",66,135,69,"Orthodox",1977,1.54,31,2.48,60,0.35,12,35,1.2
"320","Daron Cruickshank",68,155,72,"Switch",1985,2.88,38,2.98,57,2.04,41,60,0.2
"321","Ion Cutelaba",73,205,75,"Southpaw",1993,5.1,39,3.37,48,2.41,71,80,0
"322","Henrique da Silva",75,205,76,"Orthodox",1989,3.89,60,5.28,40,0.25,14,22,0.2
"323","Alex Da Silva",68,155,73,"Orthodox",1996,2.07,46,2.65,55,2.75,43,77,0.4
"324","Zak Cummings",72,185,75,"Southpaw",1984,2.58,32,2.83,55,0.68,28,65,0.7
"325","Nicolas Dalby",71,170,74,"Orthodox",1984,3.2,37,3.57,55,1.45,33,63,0
"326","Paul Daley",69,170,76,"Orthodox",1983,3.14,47,2.37,60,0.91,40,64,0
"327","Aisling Daly",62,115,64,"Orthodox",1987,2.92,52,1.4,55,2.15,41,33,0.9
"328","Rodrigo Damm",67,155,71,"Orthodox",1980,3.5,36,5.61,57,0.44,16,80,0.3
"329","Jarjis Danho",75,265,74,"Orthodox",1983,3.39,48,5.77,47,0.57,20,100,0
"330","Mac Danzig",68,155,70,"Orthodox",1980,3.39,48,3.44,57,1.2,37,46,0.6
"331","Karen Darabedyan",67,155,68,"Orthodox",1986,3.43,51,2.62,67,2.14,75,0,0
"332","Beneil Dariush",70,155,72,"Southpaw",1989,4,49,2.72,59,2.03,32,81,1
"333","Kyle Daukaus",75,185,76,"Southpaw",1993,3.69,59,2.16,42,2.33,41,94,1.7
"334","Chris Daukaus",75,250,76,"Orthodox",1989,11.78,61,3.22,65,0,0,100,0
"335","Marcus Davis",70,170,70,"Southpaw",1973,2.72,39,2.79,65,1.6,48,47,1.4
"336","LC Davis",68,135,69,"Southpaw",1980,2.04,30,2.1,59,2.27,46,66,0.2
"337","Phil Davis",74,205,79,"Orthodox",1984,2.85,34,1.33,72,2.99,38,72,0.6
"338","Mike Davis",72,145,72,"Orthodox",1992,6.24,53,6.76,57,1.39,33,69,0
"339","Alexis Davis",66,135,68,"Orthodox",1984,4.18,47,4.18,55,0.94,40,34,0.8
"340","Hakeem Dawodu",68,145,73,"Orthodox",1991,5.15,47,2.31,63,0,0,85,0
"341","Brandon Davis",70,135,72,"Orthodox",1990,4.65,35,4.33,60,0.71,45,56,0.1
"342","Grant Dawson",70,145,72,"Switch",1994,3.4,48,2.1,51,3.44,34,40,1.6
"343","Jason Day",72,185,72,"Orthodox",1981,3.61,54,3.46,47,1.13,100,0,0
"344","Martin Day",70,145,73,"Orthodox",1988,3.97,45,3.79,53,0.72,60,65,0.5
"345","Yorgan De Castro",72,250,74,"Orthodox",1986,2.61,44,3.9,55,0,0,75,0
"346","Geraldo de Freitas",67,135,72,"Orthodox",1991,3.67,52,2.62,50,3,45,59,0
"347","Philip De Fries",77,250,79,"Orthodox",1986,2.3,47,3,37,3.29,42,100,0.6
"348","Chris de la Rocha",75,250,80,"Orthodox",1979,4.08,45,6.37,43,2.02,30,33,1
"349","Montana De La Rosa",67,125,68,"Orthodox",1995,2.85,36,3.39,45,2.14,28,57,1.2
"350","Mark De La Rosa",66,135,65,"Orthodox",1994,3.13,35,5,48,0.54,13,40,0.2
"351","Mike de la Torre",71,145,71,"Orthodox",1986,3.21,39,4.75,51,0.36,16,83,0
"352","Isabela de Padua",63,125,64,"Orthodox",1991,1,35,2.07,50,2,66,0,1
"353","Germaine de Randamie",69,135,71,"Orthodox",1984,2.72,46,2.14,65,0,0,69,0.4
"354","Gloria de Paula",65,115,67,"Orthodox",1995,3.33,54,1.2,70,0,0,71,1
"355","Rolando Delgado",75,155,77,"Orthodox",1981,1.56,40,1.83,62,1.17,22,0,3.5
"356","Jon Delos Reyes",66,125,67,"Orthodox",1987,2.99,38,4.14,51,3.2,83,55,1.9
"357","Roland Delorme",69,135,71,"Orthodox",1983,2.28,44,4.32,40,2.51,34,42,1.6
"358","Vanessa Demopoulos",62,115,59,"Orthodox",1988,1.6,41,3.13,50,0,0,0,2
"359","Chris Dempsey",70,185,72,"Orthodox",1987,2.25,32,2.82,65,2.64,23,16,0
"360","Jason Dent",70,155,71,"Orthodox",1980,2.01,39,3.7,62,0,0,26,1.4
"361","Tony DeSouza",72,170,70,"Southpaw",1974,1.12,52,1.57,41,2.25,42,40,1.5
"362","Mackenzie Dern",64,115,63,"Orthodox",1993,3.74,38,3.81,61,0.28,5,0,2.2
"363","Alessio Di Chirico",72,185,74,"Orthodox",1989,3.3,41,3.24,62,1.62,45,83,0
"364","Micol Di Segni",63,115,60,"Orthodox",1987,7.47,40,5.87,33,0,0,37,0
"365","Cyrille Diabate",78,205,81,"Southpaw",1973,4.06,71,1.78,60,1.17,83,53,0.2
"366","Tyler Diamond",67,145,69,"Orthodox",1991,3.4,47,2.53,44,3,75,70,0
"367","Marc Diakiese",70,155,73,"Orthodox",1993,3.08,39,2.79,54,2.16,36,62,0
"368","Hacran Dias",68,155,69,"Orthodox",1984,2.08,41,3.31,55,2.5,39,76,0.5
"369","Nick Diaz",73,185,76,"Southpaw",1983,5.43,42,3.56,61,1.32,33,60,1
"370","Nate Diaz",72,170,76,"Southpaw",1985,4.62,45,3.78,53,1.19,30,42,1.4
"371","Seth Dikun",70,135,69,"Orthodox",1980,1.45,26,2.18,55,0,0,45,0.9
