player_name,pitch_type,result,release_speed,description,count,outs_when_up
"Sale, Chris",SI,S,95.4,called_strike,1-1,2
"Sale, Chris",SL,B,77.2,ball,0-1,2
"Sale, Chris",CH,S,86.3,foul,0-0,2
"Sale, Chris",SL,S,77.4,swinging_strike,2-2,1
"Sale, Chris",SI,S,93.8,foul,2-1,1
"Sale, Chris",SI,B,92.9,ball,1-1,1
"Sale, Chris",CH,S,86,called_strike,1-0,1
"Sale, Chris",SI,B,91.2,ball,0-0,1
"Sale, Chris",SL,S,76.1,swinging_strike_blocked,0-2,0
"Sale, Chris",CH,S,82.7,swinging_strike,0-1,0
"Sale, Chris",CH,S,89.7,called_strike,0-0,0
"Sale, Chris",SL,S,82.7,called_strike,1-2,2
"Sale, Chris",SI,S,99.3,foul,1-2,2
"Sale, Chris",SI,S,99.1,foul_tip,1-1,2
"Sale, Chris",SI,B,98.7,ball,0-1,2
"Sale, Chris",SL,S,81.3,called_strike,0-0,2
"Sale, Chris",SI,B,99.6,hit_by_pitch,0-1,2
"Sale, Chris",SI,S,99.6,called_strike,0-0,2
"Sale, Chris",SI,S,98.4,foul_tip,3-2,1
"Sale, Chris",SI,S,98.9,foul,3-2,1
"Sale, Chris",CH,B,89.6,ball,2-2,1
"Sale, Chris",SL,B,81.3,ball,1-2,1
"Sale, Chris",SI,S,97.6,swinging_strike,1-1,1
"Sale, Chris",SI,B,98.4,ball,0-1,1
"Sale, Chris",SI,S,97.8,called_strike,0-0,1
"Sale, Chris",CH,B,87.2,ball,3-1,1
"Sale, Chris",CH,B,88.6,ball,2-1,1
"Sale, Chris",CH,S,86.9,swinging_strike,2-0,1
"Sale, Chris",CH,B,85.3,ball,1-0,1
"Sale, Chris",SI,B,93.8,ball,0-0,1
"Sale, Chris",SI,X,92.2,hit_into_play,1-0,1
"Sale, Chris",SL,B,77.8,ball,0-0,1
"Sale, Chris",SI,X,95.6,hit_into_play,1-1,0
"Sale, Chris",SL,S,77.6,called_strike,1-0,0
"Sale, Chris",SL,B,75.2,ball,0-0,0
"Sale, Chris",SL,S,80.7,swinging_strike,1-2,2
"Sale, Chris",SI,B,95.6,ball,0-2,2
"Sale, Chris",SI,S,96.5,foul_tip,0-1,2
"Sale, Chris",SI,S,96.8,swinging_strike,0-0,2
"Sale, Chris",SI,X,97,hit_into_play,3-2,1
"Sale, Chris",SI,S,96.7,foul,3-1,1
"Sale, Chris",SI,B,97.3,ball,2-1,1
"Sale, Chris",SI,B,96.2,ball,1-1,1
"Sale, Chris",SI,B,97.1,ball,0-1,1
"Sale, Chris",SI,S,97.2,called_strike,0-0,1
"Sale, Chris",SI,X,97.8,hit_into_play,2-2,0
"Sale, Chris",SI,S,97.6,foul,2-2,0
"Sale, Chris",SI,B,97.5,ball,1-2,0
"Sale, Chris",SI,S,90.8,swinging_strike,1-1,0
"Sale, Chris",SI,S,97.9,swinging_strike,1-0,0
"Sale, Chris",SI,B,90.5,ball,0-0,0
"Sale, Chris",CH,B,89.3,ball,3-2,0
"Sale, Chris",SI,B,96.4,ball,2-2,0
"Sale, Chris",SL,B,79.9,ball,1-2,0
"Sale, Chris",CH,S,87.8,swinging_strike,1-1,0
"Sale, Chris",SI,S,92,swinging_strike,1-0,0
"Sale, Chris",SL,B,78.4,ball,0-0,0
"Sale, Chris",SI,S,97.8,called_strike,2-2,2
"Sale, Chris",SI,S,92.4,foul,2-2,2
"Sale, Chris",SL,B,79.3,ball,1-2,2
"Sale, Chris",SI,B,96.2,ball,0-2,2
"Sale, Chris",SL,S,80.1,called_strike,0-1,2
"Sale, Chris",SI,S,90.2,swinging_strike,0-0,2
"Sale, Chris",SL,S,80.1,swinging_strike,1-2,1
"Sale, Chris",SL,S,78.4,swinging_strike,1-1,1
"Sale, Chris",SI,S,95.2,swinging_strike,1-0,1
"Sale, Chris",SL,B,77.9,ball,0-0,1
"Sale, Chris",SL,S,79,swinging_strike,1-2,0
"Sale, Chris",CH,S,88.2,swinging_strike,1-1,0
"Sale, Chris",SL,B,73,ball,0-1,0
"Sale, Chris",CH,S,86.7,called_strike,0-0,0
"Sale, Chris",CH,X,88.9,hit_into_play,0-1,2
"Sale, Chris",SL,S,78.1,called_strike,0-0,2
"Sale, Chris",CH,X,89.4,hit_into_play,1-1,1
"Sale, Chris",CH,B,87.4,ball,0-1,1
"Sale, Chris",CH,S,86.8,foul,0-0,1
"Sale, Chris",SL,S,77.9,swinging_strike,1-2,0
"Sale, Chris",SL,S,79.8,called_strike,1-1,0
"Sale, Chris",SL,B,77,ball,0-1,0
"Sale, Chris",SI,S,93.6,called_strike,0-0,0
"Sale, Chris",SI,X,91,hit_into_play,3-1,2
"Sale, Chris",CH,B,87.1,ball,2-1,2
"Sale, Chris",CH,B,85.8,ball,1-1,2
"Sale, Chris",SI,S,94.9,foul_tip,1-0,2
"Sale, Chris",SI,B,94.4,ball,0-0,2
"Sale, Chris",SL,S,78.9,swinging_strike,1-2,1
"Sale, Chris",CH,B,87.7,ball,0-2,1
"Sale, Chris",SL,S,79.6,called_strike,0-1,1
"Sale, Chris",SI,S,96.5,foul,0-0,1
"Sale, Chris",CH,X,87.7,hit_into_play,2-2,1
"Sale, Chris",SI,S,98.3,foul,2-2,1
"Sale, Chris",SL,S,78.5,foul,2-2,1
"Sale, Chris",SL,B,78.8,ball,1-2,1
"Sale, Chris",CH,S,87.4,foul,1-1,1
"Sale, Chris",CH,S,88,foul,1-0,1
"Sale, Chris",CH,B,88.9,ball,0-0,1
"Sale, Chris",SI,S,93.4,swinging_strike,2-2,0
"Sale, Chris",SI,S,97.1,foul,2-1,0
"Sale, Chris",CH,B,88.1,ball,1-1,0
"Sale, Chris",SI,B,96,ball,0-1,0
"Sale, Chris",SI,S,94,swinging_strike,0-0,0
"Sale, Chris",SI,S,98.1,swinging_strike,3-2,2
"Sale, Chris",SI,S,97.4,foul,3-1,2
"Sale, Chris",CH,B,85.4,ball,2-1,2
"Sale, Chris",SI,B,90.8,ball,1-1,2
"Sale, Chris",SI,S,96.2,foul,1-0,2
"Sale, Chris",CH,B,88.7,ball,0-0,2
"Sale, Chris",SL,S,80.4,swinging_strike,1-2,1
"Sale, Chris",SI,S,96,foul,1-1,1
"Sale, Chris",SI,S,96,called_strike,1-0,1
"Sale, Chris",SI,B,95.6,ball,0-0,1
"Sale, Chris",SI,S,98,swinging_strike,1-2,0
"Sale, Chris",SL,S,78.4,called_strike,1-1,0
"Sale, Chris",CH,B,87.5,ball,0-1,0
"Sale, Chris",SI,S,90,called_strike,0-0,0
"Sale, Chris",SI,B,96.3,hit_by_pitch,0-2,1
"Sale, Chris",SL,S,80.5,foul,0-1,1
"Sale, Chris",CH,S,86.9,foul_tip,0-0,1
"Sale, Chris",CH,S,87.9,swinging_strike,1-2,0
"Sale, Chris",CH,B,89.2,ball,0-2,0
"Sale, Chris",SL,S,80.5,called_strike,0-1,0
"Sale, Chris",SI,S,94.9,called_strike,0-0,0
"Sale, Chris",SL,S,79,called_strike,0-2,2
"Sale, Chris",CH,S,87,foul,0-2,2
"Sale, Chris",SI,S,97.1,foul_tip,0-1,2
"Sale, Chris",CH,S,89.9,called_strike,0-0,2
"Sale, Chris",CH,X,88.9,hit_into_play,0-0,1
"Sale, Chris",SL,X,81.4,hit_into_play,0-1,1
"Sale, Chris",SI,S,96.4,called_strike,0-0,1
"Sale, Chris",SI,B,90.4,ball,3-2,1
"Sale, Chris",SL,B,78.8,ball,2-2,1
"Sale, Chris",SI,S,97.2,foul,2-2,1
"Sale, Chris",CH,S,88,swinging_strike,2-1,1
"Sale, Chris",CH,B,86.2,ball,1-1,1
"Sale, Chris",SI,S,94.1,foul,1-0,1
"Sale, Chris",SI,B,93.2,ball,0-0,1
"Sale, Chris",SI,X,95.6,hit_into_play,0-0,0
"Sale, Chris",CH,X,87.3,hit_into_play,1-0,0
"Sale, Chris",SL,B,75.8,ball,0-0,0
"Sale, Chris",SI,X,97,hit_into_play,1-0,2
"Sale, Chris",SI,B,96.8,ball,0-0,2
"Sale, Chris",SI,X,97.5,hit_into_play,2-1,1
"Sale, Chris",CH,S,86.5,called_strike,2-0,1
"Sale, Chris",SL,B,77.8,ball,1-0,1
"Sale, Chris",SL,B,78.3,ball,0-0,1
"Sale, Chris",CH,X,89.1,hit_into_play,1-1,0
"Sale, Chris",SL,S,77.6,called_strike,1-0,0
"Sale, Chris",SI,B,93.4,ball,0-0,0
"Sale, Chris",SI,X,96.7,hit_into_play,1-1,2
"Sale, Chris",SI,B,96.5,ball,0-1,2
"Sale, Chris",CH,S,84,called_strike,0-0,2
"Sale, Chris",SI,X,95.1,hit_into_play,0-0,0
"Sale, Chris",CH,X,86.7,hit_into_play,1-0,0
"Sale, Chris",CH,B,85.6,ball,0-0,0
"Sale, Chris",CH,S,89.9,swinging_strike,2-2,2
"Sale, Chris",CH,B,87.2,ball,1-2,2
"Sale, Chris",SI,S,98.1,foul,1-2,2
"Sale, Chris",CH,S,87.8,swinging_strike,1-1,2
"Sale, Chris",CH,B,86.4,ball,0-1,2
"Sale, Chris",SL,S,81.3,called_strike,0-0,2
"Sale, Chris",SI,X,97.1,hit_into_play,0-2,1
"Sale, Chris",SI,S,96.4,foul,0-1,1
"Sale, Chris",SI,S,98.2,called_strike,0-0,1
"Sale, Chris",CH,X,88.5,hit_into_play,2-1,0
"Sale, Chris",SI,S,97.7,swinging_strike,2-0,0
"Sale, Chris",SI,B,97.4,ball,1-0,0
"Sale, Chris",SI,B,97.6,ball,0-0,0
"Sale, Chris",SI,B,98.6,ball,3-2,0
"Sale, Chris",SI,S,98.3,foul,3-2,0
"Sale, Chris",SI,S,99.8,foul,3-2,0
"Sale, Chris",SI,S,98.6,foul,3-2,0
"Sale, Chris",CH,S,89.3,foul,3-2,0
"Sale, Chris",CH,B,89.6,ball,2-2,0
"Sale, Chris",SL,S,82,foul,2-2,0
"Sale, Chris",SI,S,97.6,foul,2-2,0
"Sale, Chris",SI,S,97.3,foul,2-2,0
"Sale, Chris",SL,S,80.2,called_strike,2-1,0
"Sale, Chris",SI,B,95.3,ball,1-1,0
"Sale, Chris",SI,B,91.7,ball,0-1,0
"Sale, Chris",SI,S,93.6,called_strike,0-0,0
"Sale, Chris",SI,X,97.7,hit_into_play,1-0,2
"Sale, Chris",SI,B,96.9,ball,0-0,2
"Sale, Chris",SI,X,92,hit_into_play,0-1,2
"Sale, Chris",CH,S,88.2,called_strike,0-0,2
"Sale, Chris",SI,X,94.4,hit_into_play,2-1,1
"Sale, Chris",SI,B,97.2,ball,1-1,1
"Sale, Chris",CH,S,87.4,called_strike,1-0,1
"Sale, Chris",CH,B,87.2,ball,0-0,1
"Sale, Chris",SI,X,97.8,hit_into_play,1-2,0
"Sale, Chris",CH,S,86.1,foul,1-1,0
"Sale, Chris",SI,B,96.8,ball,0-1,0
"Sale, Chris",CH,S,85.6,swinging_strike,0-0,0
"Sale, Chris",CH,S,87.3,swinging_strike,2-2,2
"Sale, Chris",SI,S,97.8,foul_tip,2-1,2
"Sale, Chris",SI,S,95.8,called_strike,2-0,2
"Sale, Chris",CH,B,87.5,ball,1-0,2
"Sale, Chris",SI,B,97.3,ball,0-0,2
"Sale, Chris",CH,S,86.5,swinging_strike,1-2,1
"Sale, Chris",CH,S,86,swinging_strike,1-1,1
"Sale, Chris",SI,S,94.9,foul,1-0,1
"Sale, Chris",SI,B,90.3,ball,0-0,1
"Sale, Chris",SI,X,96.1,hit_into_play,0-0,0
"Sale, Chris",CH,S,88.2,swinging_strike,2-2,2
"Sale, Chris",SL,B,81.2,ball,1-2,2
"Sale, Chris",SI,S,99.2,foul,1-2,2
"Sale, Chris",CH,S,89.4,foul,1-2,2
"Sale, Chris",SL,B,77.3,blocked_ball,0-2,2
"Sale, Chris",SL,S,83,swinging_strike,0-1,2
"Sale, Chris",SI,S,98.1,swinging_strike,0-0,2
"Sale, Chris",CH,X,88.6,hit_into_play,0-1,2
"Sale, Chris",SI,S,94.8,called_strike,0-0,2
"Sale, Chris",SL,X,82.1,hit_into_play,1-2,1
"Sale, Chris",SL,S,79.8,swinging_strike,1-1,1
"Sale, Chris",SL,B,81.1,ball,0-1,1
"Sale, Chris",SI,S,98.8,called_strike,0-0,1
"Sale, Chris",CH,S,87.7,swinging_strike,1-2,0
"Sale, Chris",CH,S,87.5,foul,1-1,0
"Sale, Chris",SI,S,96.2,called_strike,1-0,0
"Sale, Chris",SI,B,97.4,ball,0-0,0
"Sale, Chris",SI,X,95,hit_into_play,2-0,1
"Sale, Chris",SI,B,94.6,ball,1-0,1
"Sale, Chris",SI,B,93.9,ball,0-0,1
"Sale, Chris",SL,S,78.9,called_strike,2-2,0
"Sale, Chris",SL,B,80.9,ball,1-2,0
"Sale, Chris",SI,S,94.7,foul,1-2,0
"Sale, Chris",SL,B,81.6,blocked_ball,0-2,0
"Sale, Chris",SI,S,97,called_strike,0-1,0
"Sale, Chris",SI,S,96.9,foul,0-0,0
"Sale, Chris",SI,B,93.4,ball,3-1,0
"Sale, Chris",SI,B,96,ball,2-1,0
"Sale, Chris",SL,B,77.3,ball,1-1,0
"Sale, Chris",SL,B,75.8,ball,0-1,0
"Sale, Chris",CH,S,88.7,called_strike,0-0,0
"Sale, Chris",CH,X,89.4,hit_into_play,1-2,0
"Sale, Chris",SL,S,79.3,foul,1-2,0
"Sale, Chris",CH,S,88.7,called_strike,1-1,0
"Sale, Chris",CH,B,85.4,ball,0-1,0
"Sale, Chris",CH,S,88.4,foul,0-0,0
"Sale, Chris",SI,B,90.8,ball,3-1,0
"Sale, Chris",CH,B,85,ball,2-1,0
"Sale, Chris",SL,B,77.1,ball,1-1,0
"Sale, Chris",SI,B,92.4,ball,0-1,0
"Sale, Chris",CH,S,85.1,swinging_strike,0-0,0
"Sale, Chris",SL,X,80.7,hit_into_play,1-2,2
"Sale, Chris",SI,S,95.5,foul,1-1,2
"Sale, Chris",SI,B,95.2,ball,0-1,2
"Sale, Chris",CH,S,86.6,swinging_strike,0-0,2
"Sale, Chris",SL,S,82.1,swinging_strike,1-2,1
"Sale, Chris",SI,S,96.3,called_strike,1-1,1
"Sale, Chris",CH,B,86.9,ball,0-1,1
"Sale, Chris",CH,S,87.7,swinging_strike,0-0,1
"Sale, Chris",SL,B,77.2,hit_by_pitch,0-0,1
"Sale, Chris",CH,X,88.8,hit_into_play,0-0,0
"Sale, Chris",SI,X,96,hit_into_play,2-2,0
"Sale, Chris",SI,B,96.2,ball,1-2,0
"Sale, Chris",SL,S,80,foul,1-2,0
"Sale, Chris",SI,S,92.4,swinging_strike,1-1,0
"Sale, Chris",SI,S,94.7,swinging_strike,1-0,0
"Sale, Chris",SI,B,92.8,ball,0-0,0
"Sale, Chris",SI,X,96.3,hit_into_play,1-2,0
"Sale, Chris",SI,S,95,foul,1-1,0
"Sale, Chris",SI,B,91.9,ball,0-1,0
"Sale, Chris",CH,S,85.1,called_strike,0-0,0
"Sale, Chris",CH,X,87.9,hit_into_play,3-2,2
"Sale, Chris",SL,B,79.5,ball,2-2,2
"Sale, Chris",SI,B,94,ball,1-2,2
"Sale, Chris",CH,S,84.3,called_strike,1-1,2
"Sale, Chris",CH,S,87.7,called_strike,1-0,2
"Sale, Chris",SL,B,78,ball,0-0,2
"Sale, Chris",SI,X,91.5,hit_into_play,1-2,1
"Sale, Chris",SL,S,74.6,foul,1-2,1
"Sale, Chris",CH,S,87.9,called_strike,1-1,1
"Sale, Chris",CH,B,84.9,ball,0-1,1
"Sale, Chris",SL,S,74.3,foul,0-0,1
"Sale, Chris",SL,S,74.6,swinging_strike,1-2,0
"Sale, Chris",CH,S,85.4,foul,1-1,0
"Sale, Chris",SL,B,79.7,ball,0-1,0
"Sale, Chris",SL,S,77.7,called_strike,0-0,0
"Sale, Chris",CH,X,87.2,hit_into_play,1-2,2
"Sale, Chris",SL,B,80.6,ball,0-2,2
"Sale, Chris",SI,S,95.8,foul,0-2,2
"Sale, Chris",CH,S,85.9,foul,0-1,2
"Sale, Chris",CH,S,86.9,swinging_strike,0-0,2
"Sale, Chris",SL,S,79.6,swinging_strike,1-2,1
"Sale, Chris",CH,S,87.5,swinging_strike,1-1,1
"Sale, Chris",CH,S,86.1,swinging_strike,1-0,1
"Sale, Chris",CH,B,85.9,ball,0-0,1
"Sale, Chris",SL,S,76.8,swinging_strike,1-2,0
"Sale, Chris",SI,B,92.8,ball,0-2,0
"Sale, Chris",SL,S,78.5,foul,0-2,0
"Sale, Chris",CH,S,85.3,foul,0-1,0
"Sale, Chris",SI,S,92.2,called_strike,0-0,0
"Sale, Chris",SI,X,93.3,hit_into_play,0-0,0
"Sale, Chris",SI,S,95.4,foul_tip,1-2,2
"Sale, Chris",SL,S,82.3,foul,1-2,2
